image,mask,frame,phase
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,0,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,1,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,2,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,3,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,4,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,5,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,6,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,7,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,8,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,9,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,10,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,11,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,12,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,13,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,14,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,15,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,16,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,17,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,18,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,19,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,20,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,21,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,22,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,23,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,24,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,25,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,26,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,27,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,28,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,29,train
.\data\Patient_1\Images\I0000017.tif,.\data\Patient_1\Masks\I0000017.labels.tif,30,train
